,coefficient_name,value,constrain
0,coef_nest_root,1.0,T
1,coef_nest_AUTO,0.72,T
2,coef_nest_AUTO_DRIVEALONE,0.35,T
3,coef_nest_AUTO_SHAREDRIDE2,0.35,T
4,coef_nest_AUTO_SHAREDRIDE3,0.35,T
5,coef_nest_NONMOTORIZED,0.72,T
6,coef_nest_TRANSIT,0.72,T
7,coef_nest_TRANSIT_WALKACCESS,0.5,T
8,coef_nest_TRANSIT_DRIVEACCESS,0.5,T
9,coef_nest_RIDEHAIL,0.36,T
10,coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
11,coef_ivt_school_univ,-0.0224,F
12,coef_ivt_work,-0.0134,F
13,coef_ivt_atwork,-0.0188,F
14,coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
15,coef_topology_walk_multiplier_atwork,7.5,F
16,coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
17,coef_topology_bike_multiplier_atwork,10.0,F
18,coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
19,coef_topology_trn_multiplier_atwork,2.0,F
20,coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
21,coef_age1619_da_multiplier_school_univ,-1.3813,F
22,coef_age1619_da_multiplier_atwork,0.0032336,F
23,coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
24,coef_age010_trn_multiplier_school_univ,-1.5548,F
25,coef_age010_trn_multiplier_atwork,0.000722,F
26,coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
27,coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
28,coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
29,coef_hhsize1_sr_multiplier_work,-2.79831862449646,F
30,coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
31,coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
32,walk_ASC_no_auto_eatout,2.171013355255127,F
33,walk_ASC_no_auto_escort,2.283374547958374,F
34,walk_ASC_no_auto_othdiscr,-0.027175195515155792,F
35,walk_ASC_no_auto_othmaint,3.0255489349365234,F
36,walk_ASC_no_auto_school,8.974337577819824,F
37,walk_ASC_no_auto_shopping,-5.163427352905273,F
38,walk_ASC_no_auto_social,-0.5842301249504089,F
39,walk_ASC_no_auto_univ,6.408967,F
40,walk_ASC_no_auto_work,10.958637237548828,F
41,walk_ASC_no_auto_atwork,6.669213,F
42,walk_ASC_auto_deficient_eatout,-5.351563453674316,F
43,walk_ASC_auto_deficient_escort,-2.0939393043518066,F
44,walk_ASC_auto_deficient_othdiscr,-2.620774269104004,F
45,walk_ASC_auto_deficient_othmaint,1.2453945875167847,F
46,walk_ASC_auto_deficient_school,-3.9178595542907715,F
47,walk_ASC_auto_deficient_shopping,10.601570129394531,F
48,walk_ASC_auto_deficient_social,0.8852697610855103,F
49,walk_ASC_auto_deficient_univ,4.50591,F
50,walk_ASC_auto_deficient_work,7.103196620941162,F
51,walk_ASC_auto_deficient_atwork,0.92546093,F
52,walk_ASC_auto_sufficient_eatout,2.032561779022217,F
53,walk_ASC_auto_sufficient_escort,1.4422574043273926,F
54,walk_ASC_auto_sufficient_othdiscr,2.244168281555176,F
55,walk_ASC_auto_sufficient_othmaint,2.9647727012634277,F
56,walk_ASC_auto_sufficient_school,-2.432208776473999,F
57,walk_ASC_auto_sufficient_shopping,2.254875898361206,F
58,walk_ASC_auto_sufficient_social,1.9862369298934937,F
59,walk_ASC_auto_sufficient_univ,1.0607665,F
60,walk_ASC_auto_sufficient_work,3.1435205936431885,F
61,walk_ASC_auto_sufficient_atwork,0.677216,F
62,bike_ASC_no_auto_eatout,-4.850849151611328,F
63,bike_ASC_no_auto_escort,10.452729225158691,F
64,bike_ASC_no_auto_othdiscr,-5.525351524353027,F
65,bike_ASC_no_auto_othmaint,6.262251853942871,F
66,bike_ASC_no_auto_school,3.4288716316223145,F
67,bike_ASC_no_auto_shopping,-10.244233131408691,F
68,bike_ASC_no_auto_social,-5.849763870239258,F
69,bike_ASC_no_auto_univ,4.2945156,F
70,bike_ASC_no_auto_work,-5.49674654006958,F
71,bike_ASC_no_auto_atwork,-0.90725845,F
72,bike_ASC_auto_deficient_eatout,-9.654561996459961,F
73,bike_ASC_auto_deficient_escort,-3.648120164871216,F
74,bike_ASC_auto_deficient_othdiscr,-1.4448145627975464,F
75,bike_ASC_auto_deficient_othmaint,-2.545671224594116,F
76,bike_ASC_auto_deficient_school,-6.167605400085449,F
77,bike_ASC_auto_deficient_shopping,1.1120153665542603,F
78,bike_ASC_auto_deficient_social,-1.04213547706604,F
79,bike_ASC_auto_deficient_univ,-0.669235,F
80,bike_ASC_auto_deficient_work,-1.4963923692703247,F
81,bike_ASC_auto_deficient_atwork,-0.8074083,F
82,bike_ASC_auto_sufficient_eatout,-1.2894761562347412,F
83,bike_ASC_auto_sufficient_escort,-1.6715235710144043,F
84,bike_ASC_auto_sufficient_othdiscr,-1.5012575387954712,F
85,bike_ASC_auto_sufficient_othmaint,-1.314531683921814,F
86,bike_ASC_auto_sufficient_school,-5.244958400726318,F
87,bike_ASC_auto_sufficient_shopping,-1.3067876100540161,F
88,bike_ASC_auto_sufficient_social,-1.588206171989441,F
89,bike_ASC_auto_sufficient_univ,-1.9397832,F
90,bike_ASC_auto_sufficient_work,-0.8256749510765076,F
91,bike_ASC_auto_sufficient_atwork,15.72017,F
92,sr2_ASC_no_auto_all,0.0,F
93,sr2_ASC_auto_deficient_eatout,-6.408841609954834,F
94,sr2_ASC_auto_deficient_escort,0.0,F
95,sr2_ASC_auto_deficient_othdiscr,14.728419303894043,F
96,sr2_ASC_auto_deficient_othmaint,-4.867208003997803,F
97,sr2_ASC_auto_deficient_school,-6.02371072769165,F
98,sr2_ASC_auto_deficient_shopping,0.024837523698806763,F
99,sr2_ASC_auto_deficient_social,8.378050804138184,F
100,sr2_ASC_auto_deficient_univ,-1.6922346,F
101,sr2_ASC_auto_deficient_work,1.516065001487732,F
102,sr2_ASC_auto_deficient_atwork,-2.1102421,F
103,sr2_ASC_auto_sufficient_eatout,1.0981732606887817,F
104,sr2_ASC_auto_sufficient_escort,0.0,F
105,sr2_ASC_auto_sufficient_othdiscr,0.6411882638931274,F
106,sr2_ASC_auto_sufficient_othmaint,0.6358943581581116,F
107,sr2_ASC_auto_sufficient_school,-5.7889509201049805,F
108,sr2_ASC_auto_sufficient_shopping,0.29451340436935425,F
109,sr2_ASC_auto_sufficient_social,0.138589546084404,F
110,sr2_ASC_auto_sufficient_univ,-1.859427,F
111,sr2_ASC_auto_sufficient_work,-0.697816014289856,F
112,sr2_ASC_auto_sufficient_atwork,-1.4450618,F
113,sr3p_ASC_no_auto_eatout,-0.40206924080848694,F
114,sr3p_ASC_no_auto_escort,-6.001885890960693,F
115,sr3p_ASC_no_auto_othdiscr,-2.6019375324249268,F
116,sr3p_ASC_no_auto_othmaint,-0.9124253392219543,F
117,sr3p_ASC_no_auto_school,-9.172687530517578,F
118,sr3p_ASC_no_auto_shopping,-8.775769233703613,F
119,sr3p_ASC_no_auto_social,-3.7753565311431885,F
120,sr3p_ASC_no_auto_univ,-6.056001,F
121,sr3p_ASC_no_auto_work,-5.298410892486572,F
122,sr3p_ASC_no_auto_atwork,0.5826626,F
123,sr3p_ASC_auto_deficient_eatout,1.8153893947601318,F
124,sr3p_ASC_auto_deficient_escort,-2.4329521656036377,F
125,sr3p_ASC_auto_deficient_othdiscr,-2.2264492511749268,F
126,sr3p_ASC_auto_deficient_othmaint,-2.263294219970703,F
127,sr3p_ASC_auto_deficient_school,-6.107155799865723,F
128,sr3p_ASC_auto_deficient_shopping,0.5714444518089294,F
129,sr3p_ASC_auto_deficient_social,-0.6976423263549805,F
130,sr3p_ASC_auto_deficient_univ,-1.7277422,F
131,sr3p_ASC_auto_deficient_work,0.9291173219680786,F
132,sr3p_ASC_auto_deficient_atwork,-2.514658,F
133,sr3p_ASC_auto_sufficient_eatout,-0.09153172373771667,F
134,sr3p_ASC_auto_sufficient_escort,-0.3159448504447937,F
135,sr3p_ASC_auto_sufficient_othdiscr,-0.2650294601917267,F
136,sr3p_ASC_auto_sufficient_othmaint,0.16091319918632507,F
137,sr3p_ASC_auto_sufficient_school,-6.175109386444092,F
138,sr3p_ASC_auto_sufficient_shopping,-0.13308462500572205,F
139,sr3p_ASC_auto_sufficient_social,-0.05790194496512413,F
140,sr3p_ASC_auto_sufficient_univ,-1.9047098,F
141,sr3p_ASC_auto_sufficient_work,-1.1653722524642944,F
142,sr3p_ASC_auto_sufficient_atwork,-1.652174,F
143,walk_transit_ASC_no_auto_eatout,7.616078853607178,F
144,walk_transit_ASC_no_auto_escort,3.0900611877441406,F
145,walk_transit_ASC_no_auto_othdiscr,9.699602127075195,F
146,walk_transit_ASC_no_auto_othmaint,-0.9205635190010071,F
147,walk_transit_ASC_no_auto_school,32.01834487915039,F
148,walk_transit_ASC_no_auto_shopping,8.892454147338867,F
149,walk_transit_ASC_no_auto_social,1.4723196029663086,F
150,walk_transit_ASC_no_auto_univ,8.786037,F
151,walk_transit_ASC_no_auto_work,8.059752464294434,F
152,walk_transit_ASC_no_auto_atwork,2.7041876,F
153,walk_transit_ASC_auto_deficient_eatout,-3.82769513130188,F
154,walk_transit_ASC_auto_deficient_escort,-9.143167495727539,F
155,walk_transit_ASC_auto_deficient_othdiscr,-0.4278973340988159,F
156,walk_transit_ASC_auto_deficient_othmaint,-6.4383158683776855,F
157,walk_transit_ASC_auto_deficient_school,-0.23897287249565125,F
158,walk_transit_ASC_auto_deficient_shopping,-1.5630513429641724,F
159,walk_transit_ASC_auto_deficient_social,2.5764594078063965,F
160,walk_transit_ASC_auto_deficient_univ,3.1362555,F
161,walk_transit_ASC_auto_deficient_work,-2.634777784347534,F
162,walk_transit_ASC_auto_deficient_atwork,-2.9988291,F
163,walk_transit_ASC_auto_sufficient_eatout,-0.6658564805984497,F
164,walk_transit_ASC_auto_sufficient_escort,-2.367258071899414,F
165,walk_transit_ASC_auto_sufficient_othdiscr,-0.94711834192276,F
166,walk_transit_ASC_auto_sufficient_othmaint,-4.292471408843994,F
167,walk_transit_ASC_auto_sufficient_school,-3.5689165592193604,F
168,walk_transit_ASC_auto_sufficient_shopping,-4.639132976531982,F
169,walk_transit_ASC_auto_sufficient_social,0.0713014155626297,F
170,walk_transit_ASC_auto_sufficient_univ,0.4731163,F
171,walk_transit_ASC_auto_sufficient_work,1.0650992393493652,F
172,walk_transit_ASC_auto_sufficient_atwork,-3.401027,F
173,drive_transit_ASC_no_auto_all,0.0,F
174,drive_transit_ASC_auto_deficient_eatout,-0.8405624032020569,F
175,drive_transit_ASC_auto_deficient_escort,3.5796706676483154,F
176,drive_transit_ASC_auto_deficient_othdiscr,-3.8817081451416016,F
177,drive_transit_ASC_auto_deficient_othmaint,2.2499289512634277,F
178,drive_transit_ASC_auto_deficient_school,-2.0389392375946045,F
179,drive_transit_ASC_auto_deficient_shopping,-1.9130593538284302,F
